user_4,item_8,2
user_4,item_5,3
user_7,item_8,2
user_5,item_1,3
user_7,item_3,1
user_3,item_5,1
user_6,item_6,1
user_3,item_1,1
user_3,item_4,4
user_2,item_6,1
user_3,item_5,3
user_2,item_4,3
user_7,item_1,3
user_9,item_6,3
user_3,item_3,3
user_1,item_6,1
user_8,item_5,3
user_3,item_4,2
user_2,item_7,2
user_8,item_6,2
user_8,item_8,2
user_5,item_4,1
user_7,item_6,4
user_5,item_5,1
user_2,item_6,1
user_7,item_7,1
user_4,item_8,2
user_8,item_4,1
user_9,item_9,2
user_3,item_1,3
user_8,item_7,1
user_6,item_2,2
user_5,item_7,3
user_1,item_6,3
user_5,item_5,3
user_8,item_4,2
user_8,item_9,3
user_9,item_2,3
user_2,item_8,3
user_5,item_1,4
user_5,item_1,3
user_4,item_2,4
user_2,item_4,1
user_2,item_1,1
user_2,item_6,1
user_6,item_4,4
user_4,item_6,2
user_4,item_6,2
user_7,item_5,3
user_2,item_1,3
user_2,item_7,1
user_7,item_8,3
user_4,item_1,3
user_5,item_8,4
user_2,item_6,4
user_3,item_2,3
user_9,item_1,1
user_5,item_9,2
user_5,item_4,3
user_2,item_8,4
user_4,item_5,3
user_8,item_1,3
user_7,item_1,3
user_8,item_3,2
user_1,item_6,2
user_1,item_3,2
user_9,item_1,4
user_6,item_9,3
user_7,item_7,4
user_3,item_5,3
user_7,item_7,3
user_3,item_5,1
user_3,item_3,4
user_8,item_2,1
user_7,item_8,3
user_6,item_3,4
user_7,item_1,4
user_7,item_2,1
user_9,item_5,1
user_1,item_1,1
user_5,item_4,1
user_2,item_2,3
user_8,item_9,2
user_6,item_7,3
user_5,item_3,2
user_3,item_2,2
user_6,item_9,3
user_3,item_2,2
user_2,item_8,3
user_1,item_6,4
user_8,item_2,3
user_4,item_3,4
user_4,item_4,4
user_6,item_9,1
user_3,item_1,1
user_3,item_5,1
user_6,item_1,3
user_4,item_6,2
user_7,item_9,4
user_7,item_6,3
